"id","sequence","active","description","invoice_label","type_tax_use","name","name@es","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override","prorate"
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]","refund","","","","","",
"account_tax_template_p_priva4_ibi","0","True","Prorated 4% VAT supported Import of investment goods","","purchase",Prorated 4% EX IG,Prorrata IVA 4% EX BI,"Prorrata IVA 4% Importaciones bienes de inversión","Importa IVA 4% Importacions de béns d'inversió","4","percent","tax_group_iva_4","","sujeto","","","consu","","base","+mod303[34]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[35]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[34]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]","refund","","","","","",
"account_tax_template_p_priva10_ibi","0","True","Prorated 10% VAT supported Import of investment goods","","purchase",Prorated 10% EX IG,Prorrata IVA 10% EX BI,"Prorrata IVA 10% Importaciones bienes de inversión","Importa IVA 10% Importacions de béns d'inversió","10","percent","tax_group_iva_10","","sujeto","","","consu","","base","+mod303[34]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[35]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[34]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]","refund","","","","","",
"account_tax_template_p_priva21_ibi","0","True","Prorated 21% VAT supported Import of investment goods","","purchase",Prorated 21% EX IG,Prorrata IVA 21% EX BI,"Prorrata IVA 21% Importaciones bienes de inversión","Importa IVA 21% Importacions de béns d'inversió","21","percent","tax_group_iva_21","","sujeto","","","consu","","base","+mod303[34]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[35]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[34]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]","refund","","","","","",
